Entity,Code,Year,Enrolment
Australia,AUS,1970,15.76842022
East Asia and Pacific,,1970,3.154540062
Europe and Central Asia,,1970,24.66592026
Latin America and the Caribbean,,1970,6.922910213
Middle East and North Africa,,1970,5.737420082
North America,,1970,47.3711319
South Asia,,1970,4.276919842
Sub-Saharan Africa,,1970,1.398159981
