Entity,Code,Year,Enrolment
Australia,AUS,2020,90.3065033
East Asia and Pacific,,2020,39.14772034
Europe and Central Asia,,2020,65.08072662
Latin America and the Caribbean,,2020,44.66407013
Middle East and North Africa,,2020,37.91613007
North America,,2020,84.03231812
South Asia,,2020,20.83864021
Sub-Saharan Africa,,2020,8.59348011
